iter	Passed	Remaining
572	28294	21084
573	28347	21038
574	28392	20985
575	28432	20929
576	28497	20891
577	28550	20844
578	28600	20795
579	28647	20745
580	28694	20693
581	28752	20650
582	28810	20607
583	28859	20557
584	28899	20501
585	28943	20448
586	28981	20390
587	29023	20336
588	29077	20290
589	29123	20238
590	29165	20184
591	29214	20134
592	29263	20084
593	29316	20037
594	29371	19992
595	29437	19954
596	29478	19899
597	29526	19848
598	29572	19797
599	29635	19756
600	29667	19696
601	29701	19636
602	29741	19581
603	29789	19530
604	29827	19474
605	29876	19424
606	29915	19368
607	29965	19319
608	30014	19270
609	30064	19221
610	30112	19171
611	30169	19127
612	30208	19071
613	30271	19030
614	30315	18977
615	30366	18930
616	30411	18877
617	30460	18828
618	30511	18780
619	30556	18728
620	30607	18680
621	30664	18635
622	30717	18588
623	30761	18535
624	30808	18485
625	30862	18438
626	30909	18387
627	30958	18338
628	31011	18291
629	31071	18248
630	31112	18194
631	31152	18139
632	31195	18086
633	31231	18029
634	31271	17974
635	31305	17917
636	31350	17865
637	31396	17814
638	31428	17755
639	31471	17702
640	31525	17656
641	31571	17605
642	31635	17564
643	31704	17526
644	31753	17476
645	31808	17430
646	31870	17388
647	31913	17335
648	31983	17297
649	32026	17245
650	32059	17186
651	32102	17134
652	32141	17079
653	32193	17032
654	32246	16984
655	32294	16934
656	32345	16886
657	32390	16835
658	32439	16785
659	32499	16741
660	32543	16689
661	32585	16637
662	32630	16585
663	32684	16539
664	32736	16491
665	32790	16444
666	32829	16390
667	32874	16338
668	32926	16291
669	32979	16243
670	33039	16199
671	33094	16153
672	33134	16099
673	33167	16042
674	33211	15990
675	33259	15941
676	33309	15892
677	33349	15838
678	33404	15792
679	33456	15744
680	33504	15694
681	33564	15650
682	33610	15599
683	33647	15544
684	33697	15495
685	33756	15451
686	33803	15401
687	33860	15355
688	33900	15302
689	33941	15249
690	34011	15209
691	34047	15153
692	34081	15098
693	34129	15048
694	34153	14988
695	34194	14935
696	34259	14893
697	34320	14849
698	34365	14798
699	34402	14744
700	34430	14685
701	34470	14632
702	34505	14577
703	34538	14521
704	34574	14467
705	34635	14423
706	34695	14378
707	34739	14327
708	34787	14278
709	34841	14230
710	34914	14191
711	34959	14140
712	34996	14086
713	35057	14042
714	35109	13994
715	35167	13949
716	35218	13900
717	35257	13847
718	35303	13797
719	35347	13746
720	35406	13700
721	35465	13655
722	35519	13608
723	35590	13567
724	35660	13526
725	35698	13473
726	35756	13427
727	35813	13381
728	35855	13329
729	35922	13286
730	35984	13241
731	36031	13191
732	36078	13141
733	36130	13093
734	36196	13050
735	36229	12995
736	36262	12940
737	36322	12894
738	36362	12842
739	36417	12795
740	36461	12744
741	36523	12699
742	36572	12650
743	36622	12601
744	36681	12555
745	36741	12509
746	36796	12462
747	36851	12415
748	36901	12366
749	36960	12320
750	36998	12267
751	37047	12217
752	37097	12168
753	37157	12123
754	37212	12075
755	37266	12027
756	37325	11981
757	37367	11930
758	37418	11881
759	37478	11835
760	37521	11784
761	37578	11737
762	37635	11690
763	37686	11641
764	37726	11589
765	37775	11539
766	37829	11491
767	37858	11436
768	37914	11389
769	37983	11345
770	38043	11299
771	38095	11250
772	38139	11200
773	38175	11146
774	38232	11099
775	38284	11051
776	38327	11000
777	38373	10949
778	38441	10905
779	38474	10851
780	38526	10803
781	38575	10753
782	38625	10704
783	38666	10652
784	38700	10599
785	38759	10552
786	38800	10501
787	38865	10456
788	38930	10411
789	38976	10360
790	39027	10311
791	39089	10266
792	39140	10216
793	39189	10167
794	39243	10119
795	39291	10069
796	39335	10018
797	39385	9969
798	39434	9920
799	39491	9872
800	39551	9826
801	39600	9776
802	39654	9728
803	39702	9678
804	39749	9628
805	39809	9582
806	39853	9531
807	39893	9479
808	39940	9429
809	40008	9384
810	40051	9333
811	40091	9282
812	40133	9231
813	40185	9182
814	40220	9129
815	40280	9082
816	40348	9037
817	40385	8985
818	40426	8934
819	40459	8881
820	40494	8828
821	40529	8776
822	40564	8724
823	40591	8669
824	40620	8616
825	40647	8562
826	40671	8507
827	40696	8453
828	40721	8399
829	40750	8346
830	40779	8293
831	40804	8239
832	40826	8184
833	40853	8131
834	40878	8077
835	40909	8025
836	40938	7972
837	40966	7919
838	40992	7866
839	41016	7812
840	41041	7759
841	41063	7705
842	41088	7652
843	41112	7598
844	41139	7546
845	41169	7494
846	41199	7442
847	41223	7389
848	41250	7336
849	41274	7283
850	41299	7231
851	41335	7180
852	41359	7127
853	41383	7074
854	41403	7021
855	41426	6968
856	41453	6916
857	41483	6865
858	41512	6813
859	41541	6762
860	41572	6711
861	41595	6659
862	41618	6606
863	41640	6554
864	41666	6502
865	41692	6451
866	41715	6399
867	41741	6347
868	41765	6296
869	41788	6244
870	41815	6193
871	41846	6142
872	41873	6091
873	41901	6040
874	41928	5989
875	41956	5939
876	41979	5887
877	42012	5837
878	42040	5787
879	42067	5736
880	42093	5685
881	42118	5634
882	42147	5584
883	42177	5534
884	42206	5484
885	42233	5434
886	42260	5383
887	42286	5333
888	42316	5283
889	42341	5233
890	42379	5184
891	42403	5134
892	42432	5084
893	42463	5034
894	42494	4985
895	42521	4935
896	42548	4885
897	42575	4835
898	42599	4785
899	42624	4736
900	42652	4686
901	42682	4637
902	42712	4588
903	42735	4538
904	42763	4489
905	42794	4440
906	42825	4391
907	42853	4341
908	42881	4292
909	42909	4243
910	42934	4194
911	42960	4145
912	42991	4096
913	43020	4047
914	43047	3998
915	43076	3950
916	43104	3901
917	43132	3852
918	43161	3804
919	43193	3755
920	43220	3707
921	43256	3659
922	43289	3611
923	43318	3562
924	43346	3514
925	43377	3466
926	43411	3418
927	43441	3370
928	43472	3322
929	43503	3274
930	43533	3226
931	43560	3178
932	43592	3130
933	43615	3082
934	43642	3033
935	43668	2985
936	43692	2937
937	43718	2889
938	43745	2841
939	43770	2793
940	43793	2745
941	43820	2698
942	43844	2650
943	43868	2602
944	43892	2554
945	43916	2506
946	43941	2459
947	43966	2411
948	43993	2364
949	44018	2316
950	44043	2269
951	44065	2221
952	44091	2174
953	44115	2127
954	44142	2080
955	44167	2032
956	44191	1985
957	44217	1938
958	44241	1891
959	44268	1844
960	44293	1797
961	44318	1750
962	44345	1703
963	44371	1657
964	44398	1610
965	44423	1563
966	44449	1516
967	44476	1470
968	44499	1423
969	44523	1377
970	44549	1330
971	44576	1284
972	44605	1237
973	44636	1191
974	44667	1145
975	44697	1099
976	44724	1052
977	44754	1006
978	44785	960
979	44818	914
980	44849	868
981	44878	822
982	44906	776
983	44939	730
984	44963	684
985	44987	638
986	45011	592
987	45033	546
988	45057	501
989	45082	455
990	45107	409
991	45131	363
992	45157	318
993	45181	272
994	45205	227
995	45231	181
996	45257	136
997	45281	90
998	45309	45
999	45335	0
